Move,Spot (€),Net Return (% NAV),Run_Date,EUA_Spot,Net_Cost_EUR,FX_Rate,Risk-Free_Rate,Strategy,Qty_Per_Leg,Lot_Size,Leg_1_Side,Leg_1_Strike,Leg_1_Type,Leg_1_Delta,Leg_1_Price,Leg_1_IVOL,Leg_1_Sign,Leg_2_Side,Leg_2_Strike,Leg_2_Type,Leg_2_Delta,Leg_2_Price,Leg_2_IVOL,Leg_2_Sign
-15%,68.425,0.3111132825971994,2025-11-25,80.5,0.8350000000000001,0.5612,0.01926,Bear Put Spread,25,1000,Long,80,P,-0.43,1.32,0.2326,1.0,Short,77,P,-0.193457759,0.485,0.26154904,-1.0
-10%,72.45,0.3111132825971995,2025-11-25,80.5,0.8350000000000001,0.5612,0.01926,Bear Put Spread,25,1000,Long,80,P,-0.43,1.32,0.2326,1.0,Short,77,P,-0.193457759,0.485,0.26154904,-1.0
-5%,76.475,0.31111328259719956,2025-11-25,80.5,0.8350000000000001,0.5612,0.01926,Bear Put Spread,25,1000,Long,80,P,-0.43,1.32,0.2326,1.0,Short,77,P,-0.193457759,0.485,0.26154904,-1.0
+5%,84.525,-0.11999057319568668,2025-11-25,80.5,0.8350000000000001,0.5612,0.01926,Bear Put Spread,25,1000,Long,80,P,-0.43,1.32,0.2326,1.0,Short,77,P,-0.193457759,0.485,0.26154904,-1.0
+10%,88.55000000000001,-0.11999057319568668,2025-11-25,80.5,0.8350000000000001,0.5612,0.01926,Bear Put Spread,25,1000,Long,80,P,-0.43,1.32,0.2326,1.0,Short,77,P,-0.193457759,0.485,0.26154904,-1.0
+15%,92.57499999999999,-0.11999057319568668,2025-11-25,80.5,0.8350000000000001,0.5612,0.01926,Bear Put Spread,25,1000,Long,80,P,-0.43,1.32,0.2326,1.0,Short,77,P,-0.193457759,0.485,0.26154904,-1.0
