Move,Spot (€),Net Return (% NAV),Run_Date,EUA_Spot,Net_Cost_EUR,FX_Rate,Risk-Free_Rate,Strategy,Qty_Per_Leg,Lot_Size,Leg_1_Side,Leg_1_Strike,Leg_1_Type,Leg_1_Delta,Leg_1_Price,Leg_1_IVOL,Leg_1_Sign,Leg_2_Side,Leg_2_Strike,Leg_2_Type,Leg_2_Delta,Leg_2_Price,Leg_2_IVOL,Leg_2_Sign,Leg_3_Side,Leg_3_Strike,Leg_3_Type,Leg_3_Delta,Leg_3_Price,Leg_3_IVOL,Leg_3_Sign,Leg_4_Side,Leg_4_Strike,Leg_4_Type,Leg_4_Delta,Leg_4_Price,Leg_4_IVOL,Leg_4_Sign
-15%,68.425,-0.1372347274274019,2025-11-25,80.5,-0.545,0.5612,0.01926,Iron Condor,25,1000,Long,77,P,-0.193457759,0.485,0.26154904,1.0,Short,78.5,P,-0.296163708,0.81,0.249405365,-1.0,Long,84,C,0.214285857,0.485,0.241212707,1.0,Short,83,C,0.287293378,0.705,0.238590281,-1.0
-10%,72.45,-0.137234727427402,2025-11-25,80.5,-0.545,0.5612,0.01926,Iron Condor,25,1000,Long,77,P,-0.193457759,0.485,0.26154904,1.0,Short,78.5,P,-0.296163708,0.81,0.249405365,-1.0,Long,84,C,0.214285857,0.485,0.241212707,1.0,Short,83,C,0.287293378,0.705,0.238590281,-1.0
-5%,76.475,-0.13723472742740206,2025-11-25,80.5,-0.545,0.5612,0.01926,Iron Condor,25,1000,Long,77,P,-0.193457759,0.485,0.26154904,1.0,Short,78.5,P,-0.296163708,0.81,0.249405365,-1.0,Long,84,C,0.214285857,0.485,0.241212707,1.0,Short,83,C,0.287293378,0.705,0.238590281,-1.0
+5%,84.525,-0.06538408479525441,2025-11-25,80.5,-0.545,0.5612,0.01926,Iron Condor,25,1000,Long,77,P,-0.193457759,0.485,0.26154904,1.0,Short,78.5,P,-0.296163708,0.81,0.249405365,-1.0,Long,84,C,0.214285857,0.485,0.241212707,1.0,Short,83,C,0.287293378,0.705,0.238590281,-1.0
+10%,88.55000000000001,-0.06538408479525437,2025-11-25,80.5,-0.545,0.5612,0.01926,Iron Condor,25,1000,Long,77,P,-0.193457759,0.485,0.26154904,1.0,Short,78.5,P,-0.296163708,0.81,0.249405365,-1.0,Long,84,C,0.214285857,0.485,0.241212707,1.0,Short,83,C,0.287293378,0.705,0.238590281,-1.0
+15%,92.57499999999999,-0.06538408479525448,2025-11-25,80.5,-0.545,0.5612,0.01926,Iron Condor,25,1000,Long,77,P,-0.193457759,0.485,0.26154904,1.0,Short,78.5,P,-0.296163708,0.81,0.249405365,-1.0,Long,84,C,0.214285857,0.485,0.241212707,1.0,Short,83,C,0.287293378,0.705,0.238590281,-1.0
