Move,Spot (€),Net Return (% NAV),Run_Date,EUA_Spot,Net_Cost_EUR,FX_Rate,Risk-Free_Rate,Strategy,Qty_Per_Leg,Lot_Size,Leg_1_Side,Leg_1_Strike,Leg_1_Type,Leg_1_Delta,Leg_1_Price,Leg_1_IVOL,Leg_1_Sign,Leg_2_Side,Leg_2_Strike,Leg_2_Type,Leg_2_Delta,Leg_2_Price,Leg_2_IVOL,Leg_2_Sign
-15%,68.425,-0.13292368886947326,2025-11-25,80.5,0.9249999999999999,0.5612,0.01926,Bull Call Spread,25,1000,Long,81,C,0.470356418,1.41,0.237048958,1.0,Short,84,C,0.214285857,0.485,0.241212707,-1.0
-10%,72.45,-0.13292368886947326,2025-11-25,80.5,0.9249999999999999,0.5612,0.01926,Bull Call Spread,25,1000,Long,81,C,0.470356418,1.41,0.237048958,1.0,Short,84,C,0.214285857,0.485,0.241212707,-1.0
-5%,76.475,-0.13292368886947326,2025-11-25,80.5,0.9249999999999999,0.5612,0.01926,Bull Call Spread,25,1000,Long,81,C,0.470356418,1.41,0.237048958,1.0,Short,84,C,0.214285857,0.485,0.241212707,-1.0
+5%,84.525,0.2981801669234129,2025-11-25,80.5,0.9249999999999999,0.5612,0.01926,Bull Call Spread,25,1000,Long,81,C,0.470356418,1.41,0.237048958,1.0,Short,84,C,0.214285857,0.485,0.241212707,-1.0
+10%,88.55000000000001,0.29818016692341287,2025-11-25,80.5,0.9249999999999999,0.5612,0.01926,Bull Call Spread,25,1000,Long,81,C,0.470356418,1.41,0.237048958,1.0,Short,84,C,0.214285857,0.485,0.241212707,-1.0
+15%,92.57499999999999,0.298180166923413,2025-11-25,80.5,0.9249999999999999,0.5612,0.01926,Bull Call Spread,25,1000,Long,81,C,0.470356418,1.41,0.237048958,1.0,Short,84,C,0.214285857,0.485,0.241212707,-1.0
