,EUA FUTURES - EUA - DEC25,,,UKA FUTURES - UKA - DEC25,,,CCA FUTURES - CCA V25 - DEC25,,,CCA FUTURES - CCA V26 - DEC26,,,EUA DAILY FUTURES - EUA DAILY - FUTURES TODAY,,UKA DAILY FUTURES - UKA DAILY - FUTURES TODAY,
45859,69.83,20623,328708,48.71,1351,56546,28.07,3244,177289,29.86,140,58118,69.14,2349,47.79,38
45856,69.89,18031,327097,49.21,1724,56649,28.24,1077,176795,30.05,400,57978,69.18,685,48.28,82
45855,70.55,20011,326066,50.98,1570,56599,28.3,1222,177107,30.1,51,57645,69.82,1560,50.04,9
45854,71.31,18060,326325,51.14,2445,57112,28.21,2161,177306,30,0,57594,70.57,3065,50.23,93
45853,71.51,19394,325885,49.74,1356,57185,28.15,2593,176541,29.96,21,57594,70.76,2299,48.83,5
45852,70.42,23685,323301,48.15,1164,57148,28.33,1509,176283,30.14,45,57594,69.67,1630,47.25,1
45849,70.55,21755,321020,47.51,974,57043,28.44,2563,176347,30.25,830,57630,69.8,3140,46.58,15
45848,70.74,18580,321618,47.23,1606,57033,28.26,991,177037,30.06,100,57630,69.98,2252,46.3,380
45847,70.39,17800,320154,46.56,3112,57076,28.14,1595,177222,29.95,414,57630,69.64,1380,45.63,5289
45846,70.42,20657,319320,47.37,1405,56029,28.1,2835,177474,29.9,1097,57316,69.66,2031,46.48,116
45845,71.2,17583,318933,47.7,883,55955,28.15,1165,177780,29.94,250,56939,70.44,3352,46.79,15
45842,71.67,12909,319160,47.71,895,55933,28.21,0,177917,30.02,0,56939,70.89,1069,46.8,4226
45841,72.06,22285,318241,48.5,1395,55919,28.21,1081,177917,30.02,155,56939,71.26,2440,47.57,763
45840,71.93,21001,319486,48.15,1633,56177,28.35,1180,177939,30.14,92,56789,71.13,4086,47.19,30
45839,70.58,25719,318476,46.82,2253,56177,28.34,1930,178106,30.14,600,56728,69.8,3282,45.93,31
45838,68.97,27538,319974,46.08,3500,56154,28.39,2163,177803,30.15,50,56738,68.19,2516,45.15,92
45835,70.96,24507,319363,48.12,2283,56433,28.08,1158,177590,29.87,0,56688,70.14,2430,47.08,575
45834,70.4,35184,320370,47.65,3506,56362,28.21,2658,177643,30,0,56688,69.57,10453,46.62,599
