,EUA FUTURES - EUA - DEC25,,,UKA FUTURES - UKA - DEC25,,,CCA FUTURES - CCA V25 - DEC25,,,CCA FUTURES - CCA V26 - DEC26,,,EUA DAILY FUTURES - EUA DAILY - FUTURES TODAY,,UKA DAILY FUTURES - UKA DAILY - FUTURES TODAY,
45593,68.39,2078,225848,40.4,2819,14138,39.15,1462,99704,41.46,100,12143,66.05,789,38.17,13
45590,69,7864,225509,41.17,276,12537,39.25,1498,99159,41.53,0,12118,66.59,2001,38.87,33
45589,68.61,3582,227510,42.03,74,12261,38.82,2815,97875,41.12,0,12118,66.25,3589,39.67,79
45588,66.82,4884,226876,42.51,176,12191,39.41,1803,97014,41.72,0,12118,64.51,1023,40.13,20
45587,64.18,4727,227039,42.3,8,12015,39.66,7762,96213,41.97,1020,12118,61.89,6809,39.96,525
45586,63.7,2511,225342,41.85,90,12014,40.7,3229,94245,43.03,0,11138,61.4,2555,39.53,1313
45583,64.23,5128,224244,40.86,42,11989,41.04,2306,92741,43.36,819,11638,61.9,3550,38.53,939
45582,64.98,4527,223763,40.53,125,11989,40.51,3272,92888,42.83,100,11837,62.58,1643,38.16,53
45581,65.06,5444,221765,40.56,260,11977,40.88,4373,91839,43.2,350,11852,62.62,2683,38.2,1912
45580,67.2,3471,221165,41.02,82,11727,40.49,7681,90762,42.8,2065,11587,64.66,2945,38.67,750
45579,68.12,2263,220105,40.77,51,11686,39.34,2233,90046,41.6,5,11337,65.52,2700,38.41,45
45576,66.73,2863,219760,39.51,1030,11676,38.99,908,89254,41.25,0,11342,64.17,1972,37.17,1501
45575,67.12,2842,218844,39.98,546,11201,38.74,1904,88890,41,0,11342,64.54,1445,37.69,1066
45574,64.07,10826,218706,38.48,116,10655,39.03,1414,89084,41.29,0,11342,61.57,3035,36.25,276
45573,62.32,7426,213895,37.86,245,10540,39.66,1662,88109,41.93,0,11342,59.87,3093,35.64,11
45572,63.78,4306,212171,37.14,122,10330,39.3,1919,87105,41.57,400,11342,61.32,1500,34.92,175
45569,64.02,4314,211471,37.83,635,10263,39.18,4969,86152,41.4,1355,11192,61.58,1934,35.59,50
45568,64.71,2414,210463,38.46,1263,9633,38.71,4569,85252,40.88,490,11810,62.28,1031,36.23,95
45567,64.54,9234,210552,37.38,1036,8392,38.41,1784,83534,40.55,0,11825,62.11,2789,35.15,1524
45566,65.57,9541,203830,37.86,172,7957,37.91,845,83495,40.03,100,11825,63.11,4644,35.62,172
45565,67.6,2186,197874,38.27,3,7795,38.11,1123,83221,40.26,15,11840,65.03,1795,36,48
45562,68.39,1945,197129,38.81,25,7793,37.87,811,82770,39.99,0,11840,65.77,2869,36.5,522
45561,68.6,3502,196698,38.94,718,7768,37.22,1321,82369,39.34,160,11840,65.94,3237,36.61,542
45560,67.31,3665,194595,40.33,148,7697,37.35,3449,82327,39.45,39,11680,64.66,2259,37.9,25
45559,65.91,3884,193567,40.52,1055,7667,37.49,941,83817,39.61,0,11641,63.29,3027,38.05,2334
45558,66.18,3429,192155,40.82,17,6716,37.87,1735,83487,39.99,220,11641,63.52,5040,38.31,36
45555,65.49,1667,190546,41.43,226,6701,37.68,1113,83140,39.82,0,11556,62.79,2979,38.89,386
45554,64.9,6640,190387,41.03,175,6475,37.54,1087,82128,39.68,0,11556,62.21,3830,38.48,809
45553,65.81,3433,189493,41.66,274,6500,37.46,2089,81953,39.6,45,11556,63.08,3431,39.04,2873
45552,66.43,8264,189036,42.67,530,6491,37.53,981,82004,39.68,0,11586,63.71,2833,40.06,8
45551,65.31,4255,189674,43.71,9,6430,37.41,509,81695,39.56,25,11586,62.58,3817,41.07,49
45548,67.11,2816,190449,44.99,675,6422,37.59,4439,81436,39.75,30,11601,64.32,3688,42.3,0
45547,67.59,2472,190306,44.62,10,5777,37.02,1111,79695,39.18,0,11601,64.77,3303,41.93,61
45546,68.55,4481,190071,44.56,3548,5777,36.53,1597,79390,38.67,20,11601,65.71,4302,41.83,269
45545,67.1,3641,191308,44.41,0,5226,36.26,2281,78508,38.4,860,11581,64.23,2749,41.65,75
45544,68.73,2720,190241,44.79,0,5226,36.87,2360,77638,39.05,9,11001,65.81,2486,42.02,80
45541,68.71,13175,188662,43.95,0,5226,35.98,4143,76229,38.15,1015,11010,65.77,3833,41.11,1101
45540,68.46,2580,181332,44.17,76,5226,36.49,2701,74601,38.71,256,10260,65.46,3062,41.33,1428
45539,69.3,3200,180006,43.97,14,5151,37.08,3052,74485,39.33,175,10004,66.24,2262,41.08,3791
45538,70.54,3665,178478,44.54,0,5137,37.58,2508,72531,39.87,42,10014,67.37,4854,41.62,4
45537,72.9,964,177750,44.9,0,5137,37.12,0,70738,39.33,0,10014,69.6,5625,41.98,1000
45534,72.75,1806,177653,45.53,610,5153,37.12,2262,70738,39.33,0,10014,69.45,6397,42.59,12
45533,73.49,1929,176674,44.29,0,5143,36.64,3048,69601,38.85,0,10014,70.2,5043,41.48,173
45532,73.22,1495,176117,43.83,0,5143,36.31,1770,67889,38.52,0,10014,69.88,4013,41.01,300
45531,73.98,1662,175271,42.5,0,5143,36.29,1866,66657,38.5,390,10014,70.58,4987,39.68,400
45530,72.95,947,175115,42.23,0,5143,35.46,2160,66282,37.64,136,10144,69.61,1673,39.37,0
45527,73.59,1368,174789,42.23,0,5143,34.37,1901,64997,36.5,500,10017,70.23,616,39.37,5
45526,74.05,3608,174481,42.13,62,5143,34.55,6108,64640,36.71,500,9517,70.65,3173,39.27,125
45525,74.69,1944,174081,42.75,16,5093,33.15,4006,62830,35.23,453,9017,71.19,2009,39.82,3056
45524,75.67,2177,173956,43.12,151,5077,34.62,4569,61236,36.76,520,8614,72.11,2562,40.19,28
45523,75.72,1220,173342,42.63,0,4938,34.8,245,59636,36.96,0,8134,72.17,1394,39.88,1250
45520,75.08,1402,172958,42.93,190,4938,34.89,348,59616,37.05,2,8134,71.54,1288,40.18,0
45519,74.61,2554,172595,42.58,0,4915,35.06,2017,59527,37.22,0,8132,71.11,2271,39.83,69
45518,74.36,992,171517,40.83,0,4915,35.52,643,59383,37.68,0,8132,70.88,962,38.06,243
45517,73.75,1517,171117,40.47,0,4915,35.65,592,58806,37.81,15,8132,70.28,1425,37.71,0
45516,75.18,3315,171091,40.71,0,4915,35.58,935,58583,37.74,20,8117,71.63,846,37.96,17
45513,72.61,2276,171297,39.87,0,4915,35.93,761,59110,38.12,10,8097,69.13,1107,37.11,23
45512,73.54,3562,171422,40.59,400,4915,36.15,1652,59282,38.35,25,8087,70.04,1679,37.83,237
45511,73.04,3377,170526,40.28,0,4515,36.66,1433,59444,38.86,10,8062,69.55,4156,37.36,1841
45510,72.39,2319,169899,41.13,0,4515,36.57,2266,59412,38.77,1028,8062,68.95,3030,38.24,16
45509,71.1,4520,169100,40.68,154,4515,36.1,2217,59569,38.28,55,9039,67.73,987,37.78,55
45506,73.04,3796,167969,40.92,100,4448,36.46,3147,59034,38.67,40,8984,69.53,2239,38.01,25
45505,73.73,3219,167889,42.09,825,4360,37.35,2509,57840,39.72,5,9009,70.1,1559,39.08,214
45504,71.75,2931,167681,40.54,60,3870,36.2,3224,55804,38.56,262,9009,68.14,6357,37.45,1
45503,71.18,982,167790,41.02,98,3815,34.95,4060,54818,37.27,292,8769,67.54,4554,37.86,228
45502,71.24,1048,167500,41.81,224,3764,35.58,518,52089,37.94,167,8688,67.58,1723,38.46,305
45499,70.44,906,166817,41.85,0,3562,36.16,705,51918,38.53,270,8531,66.76,174,38.67,150
45498,69.34,1557,166425,42.05,0,3562,36.56,292,51648,38.96,100,8481,65.71,1582,38.88,134
45497,70.99,3463,166297,41.81,0,3562,37,29,51648,39.43,57,8381,67.28,2049,38.62,2067
45496,68.28,4732,164885,42.7,59,3562,37.07,127,51658,39.5,17,8328,64.62,1210,39.47,71
45495,67.26,3322,165646,42.27,35,3503,37.04,28,51608,39.46,0,8311,63.63,2734,39.07,15
45492,68.88,1947,165167,42.98,0,3468,37.16,51,51583,39.6,0,8311,65.17,861,39.81,26
45491,69.03,3341,164764,43.39,0,3468,37.18,756,51572,39.62,76,8311,65.29,2425,40.19,0
45490,69.16,3812,164639,43.19,5,3468,36.78,4243,50982,39.18,1180,8235,65.38,4260,39.97,210
45489,70.65,1053,163811,43.27,30,3463,36.72,4718,50552,39.12,1010,7185,66.83,1552,39.98,191
45488,70.32,2670,163718,42.78,105,3433,37.74,1832,49330,40.17,0,6175,66.45,1454,39.51,73
45485,71.91,2550,164274,43.07,30,3348,38.32,1620,47859,40.81,100,6175,67.96,1148,39.75,158
45484,71.11,2752,163356,43.63,137,3318,38.46,3042,47114,40.96,500,6075,67.15,1847,40.25,36
45483,70.74,4636,162986,44.39,129,3210,38.72,1560,45281,41.27,0,6075,66.72,8837,40.89,3305
45482,71.36,3260,160065,45.49,0,3085,40.24,958,44521,42.82,0,6075,67.3,3080,41.92,43
45481,71.79,4289,159894,46.34,43,3085,40.85,0,44682,43.43,0,6075,67.72,6116,42.77,76
45478,73.23,5200,157897,47.95,0,3066,40.63,50,44682,43.21,0,6075,69.03,2215,44.15,1055
45477,72.96,2281,161709,49.18,0,3066,40.77,0,44632,43.35,0,6075,68.73,3116,45.36,5
45476,73.64,4512,160541,48.49,0,3066,40.77,655,44632,43.35,0,6075,69.42,24064,44.7,380
45475,73.52,5387,161889,49.32,0,3066,40.79,0,44627,43.37,0,6075,69.33,3342,45.51,38
45474,70.83,7398,160176,48.31,0,3066,40.65,20,44627,43.23,0,6075,66.72,1353,44.5,10
45471,70.19,1410,159890,48.86,0,3066,40.41,141,44607,42.99,0,6075,66.13,583,45,5
45470,69.36,2996,160257,48.62,0,3066,40.29,352,44471,42.87,0,6075,65.33,2832,44.76,185
45469,69.62,2225,159993,48.58,8,3066,39.69,2702,44121,42.27,0,6075,65.58,2265,44.72,2882
45468,70.61,3473,160264,50.1,0,3066,39.15,327,43121,41.69,0,6075,66.55,3396,46.29,1353
45467,70.08,4105,159409,48.46,2,3066,38.6,2122,43190,41.14,0,6075,65.97,4027,44.64,4
45464,70.9,5083,158226,47.38,0,3066,38.15,1572,43800,40.69,0,6075,66.71,3401,43.53,55
45463,72.08,2859,155505,48.05,81,3066,38.75,758,43978,41.29,0,6075,67.73,3046,44.26,283
45462,73.19,877,153770,51.99,0,2993,39.02,0,43397,41.56,0,6075,68.83,1516,47.89,217
45461,71.28,2022,153737,52.65,2,2993,39.02,287,43397,41.56,0,6075,67.04,4051,48.56,377
45460,70.73,1434,153579,51.95,0,2995,39.15,1761,43388,41.69,0,6075,66.54,1844,47.87,322
45457,71.04,9238,153559,51.22,0,2995,38.84,934,43057,41.38,0,6075,66.82,1677,47.14,0
45456,73.68,1040,148000,51.95,0,2995,39.3,1405,43373,41.9,500,6075,69.19,1932,47.89,0
45455,73.7,1625,147981,51.37,0,2995,39.47,1950,43739,42.08,500,5575,69.21,1561,47.33,1403
45454,73.66,3366,147524,50.59,0,2995,39.35,1014,43609,41.96,0,5075,69.09,2128,46.55,77
45453,73.85,1771,146438,49.13,19,2995,39.71,1024,43109,42.32,0,5075,69.25,1340,45.01,0
45450,74.43,2033,146728,49.94,3,2985,39.69,150,42631,42.3,0,5075,69.79,749,45.99,10
45449,75.16,1738,145469,49.58,0,2985,39.72,2800,42631,42.33,0,5075,70.49,1436,45.53,4
45448,74.82,3187,145667,49.08,0,2985,38.51,3914,41365,41.12,0,5075,70.2,4364,45.08,84
45447,75.36,3928,145957,49.74,0,2985,38.77,8466,37599,41.39,2265,5075,70.68,2413,45.78,89
45446,77.69,2798,146098,51.05,1,2985,40.54,981,33621,43.19,0,4075,72.86,2195,47.13,160
45443,77.23,1953,145778,51.01,0,2986,41.68,142,33072,44.4,0,4075,72.38,1723,47.04,153
45442,78.64,3193,145416,48.82,30,2986,41.88,557,32940,44.6,0,4075,73.74,1527,44.87,93
45441,76.96,2892,144649,47.42,0,2986,43.48,505,32735,46.2,0,4075,72.13,995,43.56,2063
45440,77.66,2539,144517,47.65,33,2986,43.39,272,32730,46.11,0,4075,72.8,5471,43.7,390
45439,79.47,921,144483,48.22,0,3017,43.31,0,32864,46.03,0,4075,74.41,579,44.3,0
45436,78.71,2737,144404,48.22,15,3017,43.31,1265,32864,46.03,0,4075,73.76,4896,44.3,930
45435,78.92,4107,144303,46.87,0,3002,43.06,646,33367,45.78,0,4075,73.93,10153,42.99,91
45434,79.23,2166,143799,45.49,20,3002,42.85,145,33229,45.57,0,4075,74.34,8383,41.92,33
45433,79.31,1259,143504,45.48,2,2982,42.67,373,33154,45.39,0,4075,74.4,4211,41.91,181
45432,77.21,1417,143301,45.03,0,2983,42.74,105,33001,45.46,0,4075,72.4,4700,41.53,138
45429,73.55,1662,143216,41.91,26,2983,42.42,503,32988,45.14,0,4075,68.96,1815,38.52,44
45428,72.91,7248,143687,41.8,0,2965,42.68,162,33235,45.4,0,4075,68.37,2104,38.44,12
45427,72.27,2407,142393,40.98,25,2965,42.27,133,33308,44.99,0,4075,67.73,3952,37.68,2374
45426,73.11,1011,141530,39.07,8,2940,42.08,555,33215,44.8,0,4075,68.47,412,35.78,4
45425,72.65,1223,141416,39.83,0,2932,42.06,488,33040,44.78,0,4075,68.08,7562,36.51,66
45422,74.82,2070,141262,40.64,0,2932,42.24,4,32766,44.96,0,4075,70.09,8014,37.18,75
45421,76.21,1019,141298,40.28,0,2932,42.58,4,32762,45.3,0,4075,71.41,2356,36.94,64
45420,74.57,2175,141363,39.68,0,2932,42.82,655,32758,45.54,0,4075,69.89,5314,36.43,32
45419,73.79,1178,141182,39.62,0,2932,42.91,81,32403,45.63,0,4075,69.18,4566,36.36,81
45418,76.08,519,141441,39.12,0,2932,42.9,750,32361,45.62,0,4075,71.32,1845,35.81,0
45415,74.85,8736,141508,39.12,0,2932,42.15,310,32261,44.87,0,4075,70.16,3369,35.81,5
45414,75.4,2243,133954,39.51,0,2932,41.9,123,32071,44.62,0,4075,70.64,6883,36.2,115
45413,70.6,241,133409,38.75,1153,2932,41.68,852,31956,44.4,0,4075,66.08,15,35.48,1247
45412,71.32,3552,133314,37.88,31,1829,41.68,360,31104,44.37,0,4075,66.75,1365,34.58,2171
45411,68.16,647,130858,37.45,0,1801,41.85,0,30844,44.56,0,4075,63.79,2396,34.16,165
45408,69.62,1189,130675,38.18,0,1801,42.03,10,30844,44.74,0,4075,65.14,2340,34.84,103
45407,71.14,4806,130520,38.57,0,1801,42.09,355,30834,44.8,0,4075,66.56,5253,35.13,1217
45406,69.21,2914,128942,39.22,2,1801,42.07,14,30836,44.78,0,4075,64.71,3706,35.83,479
45405,68.32,2137,127061,38.76,1,1799,42.39,2873,30832,45.11,0,4075,63.91,3344,35.41,3927
45404,68.99,9361,126938,38,0,1799,42.63,105,28605,45.35,0,4075,64.54,5885,34.63,1904
45401,71.55,2372,120467,37.13,0,1799,42.91,513,28585,45.61,0,4075,66.94,2609,33.75,73
45400,74.35,4234,120558,37.3,0,1799,42.68,4,28072,45.38,0,4075,69.57,6393,33.9,72
45399,72.75,3314,119421,37.67,2,1799,42.69,28,28068,45.41,0,4075,68.08,27749,34.27,1747
45398,76.52,3797,119365,39.06,0,1797,42.62,53,28055,45.34,0,4075,71.59,3874,35.56,0
45397,73.27,2567,118369,38.14,15,1797,42.84,291,28055,45.54,0,4075,68.63,5634,34.66,7
45394,74.3,3982,118347,40.13,0,1795,43.05,22,27769,45.75,0,4075,69.58,5665,36.75,209
45393,70.69,5649,117910,39.15,2,1795,42.85,114,27769,45.55,0,4075,66.14,3034,35.8,276
45392,65.3,1763,115881,36.9,1,1795,42.54,1189,27733,45.24,0,4075,61.12,5938,33.58,248
45391,66.48,3358,115841,37.38,0,1794,42.66,581,27516,45.36,0,4075,62.28,3674,34.07,70
45390,65.91,4505,114679,37.94,0,1794,41.33,703,27140,44.03,500,4075,61.73,2824,34.56,2
45387,62.93,4062,112976,37.48,0,1794,41.8,300,27507,44.49,0,3575,58.84,3402,34.08,207
45386,60.79,1597,110302,36.71,5,1794,42.14,100,27302,44.83,0,3575,56.84,3281,33.37,120
45385,59.65,4590,110550,36.5,0,1789,42.52,604,27295,45.23,0,3575,55.76,2866,33.05,906
45384,61.02,2710,107649,37.05,5,1789,42.74,5,27371,45.45,0,3575,57.03,2002,33.61,151
45383,64.19,0,107063,39.36,0,1784,42.74,840,27368,45.45,0,3575,59.98,0,35.86,0
45380,,,,,,,,,,,,,,,,
45379,64.19,1206,107063,39.36,0,1784,42.37,2425,27363,45.08,800,3575,59.98,5084,35.86,125
45378,64.81,4239,106963,39.67,0,1784,41.76,2776,27762,44.46,500,2775,60.58,5969,36.15,5
45377,64.63,3683,104300,40.15,0,1784,41.41,737,27870,44.13,250,2275,60.4,5780,36.62,668
45376,67.41,2387,102934,41.51,2,1784,42.51,3512,27674,45.16,500,2025,63.08,3997,37.96,515
45373,63.82,5309,102051,39.5,0,1784,43.63,0,25663,46.21,0,1525,59.66,2169,36.03,164
45372,61.32,3293,98012,37.44,0,1784,44.04,5,25663,46.62,0,1525,57.28,4673,33.95,1036
45371,62.94,2318,97101,38.37,5,1784,43.28,35,25654,45.86,0,1525,58.8,1893,34.9,1611
45370,63.13,3810,96645,37.99,5,1782,42.44,10,25674,45.02,0,1525,59,4382,34.28,72
45369,63.73,3600,95512,39.96,0,1777,42.16,34,25678,44.74,0,1525,59.56,2618,36.37,31
45366,61.61,1504,95780,39.55,0,1777,42.32,44,25671,44.9,0,1525,57.56,3664,35.94,2
45365,60.64,2864,95452,39.79,50,1777,41.55,1415,25648,44.13,0,1525,56.66,4946,36.18,147
45364,58.14,2108,94597,38.56,0,1727,40.34,855,25085,43.02,0,1525,54.29,1415,35.04,46
45363,58.61,2423,93432,38.45,300,1727,43.37,537,24286,46.05,500,1525,54.75,4100,34.91,214
45362,58.31,2034,92770,36.82,0,1427,43.76,628,24766,46.46,0,1025,54.42,6531,33.38,11
45359,60.54,3404,91876,37.22,250,1427,44.08,1486,24138,46.78,500,1025,56.53,6389,33.77,15
45358,61.41,4351,91422,37.49,0,1177,44.36,664,23652,47.21,0,525,57.26,4486,33.93,400
45357,61.49,6441,89388,38.05,0,1177,44.37,1100,22988,47.22,0,525,57.36,4353,34.54,1245
45356,62.84,2661,86525,38.25,0,1177,44.88,0,21888,47.73,0,525,58.63,6905,34.76,0
45355,59.23,4423,86083,36.54,0,1177,44.95,110,21888,47.8,0,525,55.2,6160,33.05,289
45352,58.55,3429,83808,37.01,0,1177,45.27,25,21788,48.12,0,525,54.54,4247,33.49,47
45351,58.15,2330,81526,37.32,0,1177,45.07,124,21763,47.92,25,525,54.16,6462,33.76,848
45350,60.05,1940,80777,38.91,3,1177,44.73,102,21639,47.61,0,500,55.95,7184,35.31,98
45349,57.8,1601,80663,37.49,0,1176,44.39,1045,21484,47.27,500,500,53.9,6933,33.95,2243
45348,56.04,3210,80354,36.93,0,1176,45.13,13,20484,48.01,0,0,52.21,6825,33.38,248
45345,54.21,2338,78220,37.01,0,1176,45.67,300,20484,48.55,0,0,50.5,2622,33.5,364
45344,54.82,3810,77246,35.85,9,1176,45.8,10,20184,48.68,0,0,51.03,11033,32.27,109
45343,56.58,1889,75307,36.02,0,1167,45.08,10,20174,47.96,0,0,52.76,4186,32.52,803
45342,56.32,2507,74662,35.95,2,1167,45.15,259,20174,48.03,0,0,52.51,2063,32.42,5
45341,55.53,3166,74208,35.5,0,1165,45.36,0,19915,48.24,0,0,51.76,6846,31.93,7
45338,59.29,1950,73447,36.94,0,1165,45.36,1336,19915,48.24,0,0,55.26,2630,33.31,5
45337,60.03,2022,72666,38.1,12,1165,45.56,550,18829,48.44,0,0,55.98,1009,34.43,10
45336,58.7,4078,72735,37.76,10,1160,45.67,27,18279,48.55,0,0,54.74,1978,34.05,81
45335,58.51,3038,71375,37.25,0,1150,45.59,155,18254,48.47,0,0,54.53,7333,33.68,179
45334,58.95,2401,70085,36.47,0,1150,45.75,1026,18159,48.63,0,0,54.96,2764,32.86,76
45331,60.9,1682,69624,37.22,0,1150,45.88,44,18134,48.76,0,0,56.79,4790,33.55,191
45330,62.95,1172,69807,36.63,0,1150,45.9,373,18090,48.78,0,0,58.71,5479,32.96,564
45329,64.63,1640,69621,36.76,20,1150,46.13,45,17979,49.01,0,0,60.3,873,33.07,1089
45328,65.82,3246,69154,37.65,33,1130,46.32,75,17954,49.2,0,0,61.44,4601,33.94,123
45327,64.9,3511,68946,40.27,0,1110,46.52,0,17948,49.27,0,0,60.55,6629,36.43,100
45324,65.63,8168,68148,39.54,70,1110,46.45,254,17948,49.2,0,0,61.27,5160,35.77,74
45323,64.36,3874,65014,38,250,1040,46.31,254,17694,49.06,0,0,60.08,4520,34.46,59
45322,66.37,1935,63840,36.34,11,790,45.98,1330,17440,48.73,0,0,61.96,1682,32.89,182
45321,65.73,5919,63316,34.95,0,782,46.05,0,16183,48.67,0,0,61.33,1643,31.55,8
45320,63.98,1828,63060,33.33,9,782,46.2,0,16183,48.82,0,0,59.6,5740,29.9,1852
45317,65.82,2973,62176,35.23,0,775,46.18,18,16183,48.8,0,0,61.36,2288,31.71,145
45316,65.44,3176,61597,35.81,0,775,46,506,16165,48.62,0,0,60.97,4956,32.25,628
45315,68.18,957,61140,37.1,6,775,45.95,119,15739,48.57,0,0,63.48,1208,33.47,1296
45314,65.33,702,60769,36.51,0,769,45.78,22,15620,48.4,0,0,60.78,1589,32.91,7
45313,64.26,1724,60591,36.55,255,769,46.06,1001,15598,48.68,0,0,59.79,3000,32.98,116
45310,65.94,2508,60422,37.65,0,517,46.33,21,14597,48.95,0,0,61.3,1428,34.15,202
45309,65.25,2916,58938,35.92,0,517,46.05,0,14597,48.65,0,0,60.69,1447,32.4,120
45308,65.42,1374,59301,35.33,0,517,46.11,60,14597,48.66,0,0,60.85,5108,31.72,203
45307,67.94,1886,58904,36.66,262,517,45.84,0,14597,48.39,0,0,63.24,1722,33.06,43
45306,69.58,1293,57648,37.85,0,258,45.48,0,14597,48.03,0,0,64.85,1765,34,206
45303,68.05,2518,57057,38.14,108,258,45.48,250,14597,48.03,0,0,63.44,6783,34.39,475
45302,70.23,1360,55935,39.12,0,150,45.68,0,14597,48.23,0,0,65.42,5897,35.07,518
45301,72.36,605,55501,40.71,1,150,45.9,1,14597,48.45,0,0,67.39,1131,36.59,1205
45300,74.34,968,55350,42.03,11,149,46,19,14596,48.55,0,0,69.3,1215,37.61,890
45299,74.78,1163,54987,43.69,8,138,45.9,110,14577,48.45,0,0,69.74,3005,38.87,36
45296,78.81,1258,54755,47.4,0,130,45.31,550,14567,47.81,0,0,73.56,1214,42.25,891
45295,78.19,1319,54607,47.12,0,130,45.05,0,14367,47.48,0,0,73.05,15749,41.96,20
45294,79.69,903,54900,47.99,0,130,44.69,6973,14367,47.09,0,0,74.57,17694,42.64,3
45293,78.23,1047,54851,45.48,5,130,44.64,88,14322,47.04,0,0,73.17,11886,40.13,0
45292,,,,,,,,,,,,,,,,
45289,82.87,2270,54955,49.55,1,125,44.86,0,14321,47.26,0,0,77.25,1086,43.42,275
45288,82.57,1170,55442,49.36,1,125,44.85,10,14321,47.25,0,0,77.13,2588,43.41,521
45287,82.46,951,55792,47.51,0,124,44.87,0,14321,47.27,0,0,76.91,2174,42.43,2511
45286,,,,45.51,0,124,44.78,0,14321,47.18,0,0,,,40.39,0
45285,,,,,,,,,,,,,,,,
45282,81.39,994,55948,45.51,0,124,44.66,25,14321,47.06,0,0,75.79,833,40.39,0
45281,80.41,931,55909,45.82,0,124,44.37,26,14321,46.77,0,0,74.82,1030,40.7,4484
45280,78.03,961,55639,45.63,0,124,44.27,27,14322,46.67,0,0,72.57,10054,40.53,1347
45279,74.24,906,55151,42.48,0,124,44.28,606,14322,46.68,0,0,68.87,2993,37.63,103
45278,74.52,1364,54804,40.3,0,124,44.63,507,13716,47.03,0,0,69.08,2641,35.22,122
45275,71.66,309,54518,38.69,0,124,44.55,0,13857,46.95,0,0,66.33,837,34.12,168
45274,72.14,1137,54475,37.85,0,124,45.04,0,13857,47.44,0,0,66.76,6203,33.32,88
45273,74.66,904,54264,38.91,0,124,44.99,0,13857,47.39,0,0,68.86,3946,34.23,842
45272,73.88,953,54010,38.13,0,124,44.89,0,13857,47.29,0,0,68.15,3026,33.49,3
45271,72.98,1203,53481,37.83,0,124,44.84,3,13857,47.24,0,0,67.22,3972,33.26,74
45268,74.43,417,52619,37.16,0,124,44.64,0,13857,47.04,0,0,68.56,1248,32.51,117
45267,75.44,230,52449,38.1,0,124,44.39,2008,13857,46.79,0,0,69.58,386,33.29,51
45266,74.5,526,52382,37.93,0,124,44.35,12,13849,46.75,0,0,68.73,1222,33.11,77
45265,74.33,1134,52182,40.25,0,124,44.53,1,13849,46.93,0,0,68.54,1198,35.29,50
45264,76.28,1280,51543,42.42,0,124,44.37,0,13848,46.78,0,0,70.26,683,37.19,444
45261,78.62,741,50602,43.78,0,124,44.3,0,13848,46.71,0,0,72.38,1609,38.37,1094
45260,76.92,754,50234,46,5,124,44.16,3953,13848,46.56,0,0,70.69,700,40.45,865
45259,77.35,449,49673,46.74,0,119,44.4,504,11345,46.8,0,0,70.87,1046,41.43,6184
45258,79.53,716,49719,48.2,0,119,44.56,0,10845,46.96,0,0,72.78,2806,42.72,5035
45257,80.24,707,49389,48.44,0,119,44.67,0,10845,47.07,0,0,73.45,4218,42.88,22
45254,83.41,965,49290,51.56,0,119,44.66,0,10845,47.06,0,0,76.37,1292,45.85,143
45253,83.43,5361,48959,50.61,0,119,44.79,0,10845,47.19,0,0,76.35,2471,45.05,5
45252,81.98,493,48040,48.95,0,119,44.79,0,10845,47.19,0,0,74.96,1343,43.46,0
45251,82.15,893,48130,48.89,0,119,44.38,521,10845,46.78,0,0,75.12,2015,43.48,0
45250,83.52,1279,48039,47.46,0,119,44.46,30,10339,46.86,0,0,76.35,1549,42.08,517
45247,83.41,939,48159,47.43,0,119,44.82,10,10309,47.22,0,0,76.28,1067,42.05,622
45246,83.97,1076,47963,46.7,0,119,44.8,585,10299,47.19,0,0,76.73,1960,41.29,56
45245,86.83,310,47482,47.22,0,119,44.35,525,9739,46.75,0,0,79.42,1431,41.79,923
45244,85.65,502,47579,46.51,0,119,44.1,0,9239,46.5,0,0,78.29,1058,41.06,326
45243,84.42,308,47417,46.13,0,119,44.01,0,9239,46.41,0,0,77.14,1775,40.61,0
45240,85.73,380,47426,49.94,0,119,43.98,0,9239,46.38,0,0,78.33,1688,44.36,24
45239,84.38,2754,47466,49.31,0,119,43.93,0,9239,46.33,0,0,77.02,3832,43.73,1702
45238,82.68,246,47068,48.3,0,119,44,0,9239,46.4,0,0,75.33,2427,42.67,14
45237,82.23,1437,47038,46.29,0,119,44.22,0,9239,46.62,0,0,74.88,2730,40.88,211
45236,82.96,226,46954,43.52,0,119,44.37,0,9239,46.77,0,0,75.46,2832,38.23,249
45233,84.9,395,46945,42.74,0,119,44.48,0,9239,46.88,0,0,77.24,1190,37.41,97
45232,85.87,881,46873,41.97,0,119,44.19,0,9239,46.59,0,0,78.2,2171,36.7,58
45231,85.94,306,46583,44.15,74,119,43.73,0,9239,46.13,0,0,78.1,907,38.48,956
45230,86.53,1588,46507,44.54,0,45,43.67,0,9239,46.07,0,0,78.59,1633,38.83,26
45229,86.3,588,46171,42.9,0,45,43.8,0,9239,46.2,0,0,78.25,3484,37.29,41
45226,86.94,334,45922,42.93,0,45,43.54,0,9239,45.94,0,0,78.84,2877,37.24,56
45225,87.31,1395,45713,44.05,0,45,43.49,0,9239,45.89,0,0,79.14,1346,38.28,18
45224,87.56,881,44941,44.59,0,45,43.28,0,9239,45.68,0,0,79.4,4384,38.81,167
45223,88.28,424,44427,46.15,0,45,42.67,0,9239,45.07,0,0,80.05,1337,40.19,1252
